year,from_year,yoy_distance
2011,2010,0.0004888772964477539
2012,2011,0.0006295442581176758
2013,2012,0.0003521442413330078
2014,2013,0.0005857944488525391
2015,2014,0.0039768218994140625
2016,2015,0.004716813564300537
2017,2016,0.0003027915954589844
2018,2017,0.0005410909652709961
2019,2018,0.0010197162628173828
2020,2019,0.00199049711227417
