year,from_year,drift_distance
2010,2010,2.384185791015625e-07
2011,2010,0.0004888772964477539
2012,2010,0.0014287233352661133
2013,2010,0.0020797252655029297
2014,2010,0.0035446882247924805
2015,2010,0.00871896743774414
2016,2010,0.0029858946800231934
2017,2010,0.0034161806106567383
2018,2010,0.003826737403869629
2019,2010,0.004356563091278076
2020,2010,0.0030910372734069824
